Year,Semester,Class,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,FNS,R,NR
2016,Fall,ACTU 256,11,10,14,7,18,5,3,3,5,0,1,1, 0, 2,0,0
2016,Fall,INTE 293, 8, 2, 1,0, 1,3,2,2,0,0,0,0, 1, 0,0,0
2016,Fall,MATH 251, 9, 9, 5,0, 4,1,0,2,4,0,2,2, 4, 0,0,0
2016,Fall,MATH 264,22, 7, 6,3, 1,3,2,4,1,0,2,3,13, 0,0,0
2016,Fall,STAT 249, 9, 9,15,5, 9,3,3,3,7,4,0,0, 6, 0,0,0
2017,Winter,ACTU 257,5,5,5,2,6,6,2,7,7,5,10,3,0,6,0,0
2017,Winter,MATH 252,10,10,9,10,7,5,5,5,4,1,1,1,4,0,0,0
2017,Winter,MATH 265,21,10,17,9,5,1,1,4,1,0,0,1,4,0,0,0
2017,Winter,STAT 250,7,2,6,2,3,5,2,6,1,3,4,1,4,0,0,0
2017,Winter,STAT 287,4,4,2,6,5,1,2,4,5,4,4,3,1,1,0,0
2017,Summer,ECON 201,11,23,27,27,25,24,23,20,35,13,8,10,0,60,0,0
2017,Fall,ACTU 357,4,5,5,3,8,4,5,3,7,5,4,4,0,5,0,0
2017,Fall,FINA 385,0,2,4,6,6,1,3,9,9,2,6,4,0,6,0,0
2017,Fall,MATH 364,10,4,6,3,3,3,1,4,3,1,3,3,2,0,0,0
2017,Fall,STAT 349,5,5,0,4,7,2,9,0,6,6,3,0,1,0,0,0
2018,Winter,ACTU 386,12,13,0,0,0,0,2,1,0,0,0,0,0, 0,0,0
2018,Summer,COMP 248,14,17, 7, 7, 4,3,3,3,3,2,1,2,0, 3,0,0
2018,Summer,COMP 249,10,12,15,15,15,8,7,7,5,3,5,0,0, 4,0,0
2018,Summer,STAT 360,8, 6, 9, 0, 2,2,0,1,2,0,0,0,0, 0,0,0
2018,Summer,STAT 461,2, 4, 4, 4, 4,2,2,2,2,0,1,0,0, 0,0,0
2018,Fall,COMP 232,2,2,10,13,14,15,7,3,4,0,4,0,0,11,0,0
2019,Winter,ACTU 457, 5,13,15,6,12,3,2, 5,3,1,0,0,0, 0,0,0
2019,Winter,COMP 352, 6, 3,11,6,14,3,7, 7,5,4,5,1,0, 5,0,0
2019,Winter,STAT 460,12, 6, 3,4, 3,5,5,10,3,3,0,6,5, 0,0,0
2019,Winter,STAT 497,10, 3, 0,0, 1,0,0, 0,0,0,0,0,0, 0,0,0
2019,Summer,COMP 228,4,10,14,7,17,7,4,2,4,0,5,3,0, 0,0,0
